"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014"
"Western Sahara",99.1639419354839,53.1716892473118,58.718188172043,34.4328935483871,35.5888,41.7836408602151,54.1070268817204,66.6586537634409,107.114440860215,76.9337268817204,94.4247376344086,60.2362462365591,91.2171086021505,27.6662053763441,81.8916602150538,55.3547322580645,76.6396860215054,85.2048397849462,46.6657591397849,59.0244677419355,72.7724709677419,40.7232204301075,24.1299376344086,64.470411827957,98.2643225806452,59.4247806451613,96.8610989247312,83.1706612903226,47.5557107526882,54.7273634408602,86.5976505376344,91.8912752688172,54.4270397849462,58.4799741935484,64.1084903225806,79.7346086021505
"Mauritania",125.7648475,110.920158333333,125.484937777778,84.8573313888889,67.2526347222222,83.8343608333333,100.441518611111,113.464714722222,108.769937777778,126.159443333333,144.233751388889,79.7899694444444,90.856685,115.68392,138.167503611111,142.080856944444,146.859019722222,106.37724,98.2095458333333,101.322055833333,150.006530555556,114.577598055556,100.551141111111,89.4937936111111,166.256825833333,109.276066944444,145.458724722222,126.959353333333,100.566039444444,133.471259444444,161.343363333333,204.145697222222,98.6942594444444,155.4444725,129.005244722222,112.253826944444
"Qatar",99.1676,87.8432666666667,53.0281,256.749,111.870266666667,66.0593666666667,43.5631333333333,101.059966666667,68.9661666666667,154.8481,124.6902,73.4291,96.9476666666667,153.8895,156.238166666667,79.2715333333333,271.033733333333,146.614833333333,222.6029,105.558933333333,97.0361666666667,116.0878,45.3820666666667,93.9632666666667,157.882566666667,116.301866666667,115.9134,149.085666666667,71.4074666666667,60.1791333333333,114.350966666667,47.7873666666667,111.824366666667,85.8081,127.7831,104.083766666667
"Oman",77.6041055555555,50.1693814814815,48.3427462962963,153.299568518519,189.912764814815,22.8407805555556,22.634612037037,59.8184509259259,82.6825703703704,85.509887962963,113.130262037037,89.7499231481481,57.5152490740741,152.566290740741,81.6536509259259,64.2846046296296,173.472769444444,133.491360185185,174.840330555556,76.2488166666667,61.3977342592593,52.7318351851852,31.4260925925926,70.6602490740741,85.9332546296296,71.9875444444444,90.1756314814815,89.0123324074074,117.759272222222,60.1170037037037,79.1924407407407,91.4779083333333,113.626374074074,79.7407814814815,118.453881481481,87.1657981481481
"United Arab Emirates",117.691304347826,88.4108695652174,58.2812391304348,262.594443478261,134.209695652174,29.1206130434783,24.1864869565217,82.4272913043478,101.290152173913,178.55422173913,105.81592173913,85.2189347826087,73.0118869565217,149.224108695652,131.033152173913,50.2970434782609,198.356947826087,150.124630434783,212.8767,108.062026086957,75.8036217391304,63.3603304347826,44.6874,84.5623826086957,103.74002173913,82.2354956521739,106.165217391304,121.774973913043,60.8939217391304,116.586,115.618891304348,70.8517608695652,69.8086043478261,57.8650304347826,120.966995652174,106.401717391304
"Mali",328.434577751756,337.434551522248,330.979745901639,284.213354098361,249.752162295082,246.396694379391,286.579320843091,305.475957845433,259.556607259953,359.244267915691,330.325765339578,269.216797423888,325.773295784543,335.335427166276,314.582838875878,432.450000936768,332.477870960187,324.768365807963,308.04991030445,364.211446370023,429.914105152225,316.413993442623,339.084372131148,284.986362295082,422.310312880562,338.22092763466,344.432417330211,358.502155737705,352.089601873536,394.264299531616,344.659753395785,406.724582201405,303.499319906323,454.134888992974,370.446107728337,366.215692505855
"Niger",171.212994554455,192.910261633663,153.338565346535,138.826378960396,121.956607920792,89.5688737623762,138.169430445545,156.104056930693,107.63911460396,191.618973019802,161.009796782178,120.432579950495,175.179795544554,182.641107920792,150.095222029703,235.344135891089,146.165178465347,140.849976980198,144.374240594059,196.167057673267,209.193517079208,143.621126980198,162.162833168317,157.347466336634,204.493374257426,137.430660891089,193.28092029703,178.768287128713,190.772961138614,186.45969529703,155.104993069307,220.79201509901,152.557778960396,228.231456930693,175.656500990099,169.626048267327
"Chad",354.129442424242,377.227037296037,350.510901165501,300.310757808858,270.332948251748,231.967797202797,289.251995104895,279.467666200466,271.634307925408,421.270503962704,325.576365734266,251.527271328671,339.125886946387,340.537695804196,286.023456410256,419.238166433566,354.845744055944,326.982727505827,323.146077389277,385.533132167832,410.404532634033,299.93410955711,377.768542657343,310.96636993007,373.781963170163,344.434407692308,391.296371328671,427.660648951049,341.558141258741,381.630832167832,296.670517948718,419.472768298368,339.645675291375,466.456538228438,368.225364568765,350.155272494172
"Sudan",446.464649880096,452.478124220623,438.7591117506,399.662528896883,372.1461941247,317.335392805755,428.269930335731,395.266851798561,402.50142793765,516.784233333333,467.889141726619,374.311498920863,437.220517625899,458.191881654676,447.275722422062,477.386986690647,463.557580095923,464.707622541966,481.519243285372,498.727864508393,523.699333093525,433.801977458034,465.106985611511,429.735873381295,468.122316546763,407.886892446043,447.983444364508,498.567063908873,533.80698381295,472.18132206235,397.072702398082,414.086042086331,424.302142685851,463.87771882494,430.283289328537,498.137098321343
"Yemen",230.048840277778,169.120953472222,169.593156944444,157.878365277778,275.693954166667,91.2338520833333,111.683391666667,163.979943055556,145.662340972222,138.219350694444,196.4008125,119.387565277778,122.358630555556,176.806936805556,175.742920833333,128.398688888889,159.304290972222,195.763161111111,215.133126388889,170.486157638889,171.451054166667,126.449814583333,164.762727083333,177.485457638889,183.671042361111,164.139164583333,173.631976388889,185.511579861111,148.388152083333,125.804769444444,132.866901388889,190.078872916667,161.421177777778,163.148609027778,218.861240972222,157.476233333333
